AuthorName	TitleName	TagName
Ovidio	Las metamorfosis	Literatura Universal
Ovidio	Arte de amar	Palabras sinfónicas (audiolibros)
Ovidio	Arte de amar	Literatura Universal
Othón, Manuel José	Selección de poemas (Othón, Manuel José)	Palabras sinfónicas (audiolibros)
Othón, Manuel José	Selección de poemas (Othón, Manuel José)	Literatura Hispanoamericana
Othón, Manuel José	Cuentos de espantos y novelas rústicas	Literatura Hispanoamericana
Ortega Munilla, José	Lecturas infantiles	Infantil y juvenil
Ortega Munilla, José	El niño de París	Literatura Hispanoamericana
Olaguíbel, Francisco M. de	¡Pobre bebé!: Cuentos frívolos	Literatura Hispanoamericana
