AuthorName	TitleName	TagName
Unamuno, Miguel de	Niebla	Literatura Universal
Unamuno, Miguel de	Niebla	Literatura Hispanoamericana
Unamuno, Miguel de	La tía Tula	Palabras sinfónicas (audiolibros)
Unamuno, Miguel de	La Tía Tula	Literatura Universal
Unamuno, Miguel de	La Tía Tula	Literatura Hispanoamericana
Unamuno, Miguel de	El otro	Literatura Universal
Unamuno, Miguel de	Amor y pedagogía	Literatura Hispanoamericana
Unamuno, Miguel de	Abel Sánchez	Literatura Hispanoamericana
Unamuno, Miguel de	¡Adentro!	Literatura Hispanoamericana
